dte,strike,last_price,pcr,iv,volume,open_interest,z_score,prob_strike,prob_target,pct_move_needed,expected_move_pct,total_score,ticker,expiration,rank
38,25.0,1.25,1.054352127332151,0.25928475097656256,505.0,12535,-1.3634091186713324,1.0,0.7872,0.9946470355087778,8.36608633298694,0.808800294357206,PFE,2026-06-18,1
32,15.0,1.36,0.8052011776251227,0.526371923828125,51.0,278,-0.8443775155880897,1.0,0.7898,2.036009076028167,15.585519157327294,0.7857592289478964,SOFI,2026-06-12,2
38,15.0,1.5,0.4369690304276447,0.534184345703125,596.0,17376,-0.8443775155880897,1.0,0.8102,2.254222259175842,17.236001488905348,0.7551938914489188,SOFI,2026-06-18,3
38,14.0,2.14,0.4369690304276447,0.561527822265625,73.0,272,-0.8443775155880897,1.0,0.8018,2.775127847861314,18.11826658434306,0.7318657195904105,SOFI,2026-06-18,4
32,25.0,1.22,0.28205128205128205,0.2915109912109374,12.0,431,-1.3634091186713324,1.0,0.7656,0.9554707273670804,8.631444673278322,0.6874801059176955,PFE,2026-06-12,5
38,13.0,1.32,0.42757111284358396,0.508793974609375,12.0,93,-1.3716384430339383,1.0,0.7542,1.8432871103456927,16.41675532885605,0.6639101902833147,NU,2026-06-18,6
32,23.5,1.05,0.5431578947368421,0.28711650390624993,26.0,81,2.263501892842544,1.0,0.7894,1.017911220826706,8.501326855489467,0.5652250764204308,KHC,2026-06-12,7
